title_x,imdb_id,poster_path,wiki_link,title_y,original_title,is_adult,year_of_release,runtime,genres,imdb_rating,imdb_votes,story,summary,tagline,actors,wins_nominations,release_date,directors_name,directors_born_year,directors_profession,writers_name,writers_born_year,writers_profession
Ra.One,tt1562871,https://upload.wikimedia.org/wikipedia/en/thumb/5/58/Ra.Oneposter.jpg/220px-Ra.Oneposter.jpg,https://en.wikipedia.org/wiki/Ra.One,Ra.One,Ra.One,0.0,2011.0,156,Action|Adventure|Sci-Fi,4.6,36221.0,Following his son's suggestion  Shekhar designs an action-adventure video game where the antagonist is more powerful than the protagonist. The player has to fight in the first two levels to reach the third one where whoever fires the bullet first wins. The game is well-received on its opening night  but things go wrong when Prateek stops playing and quits the game in between  only to invite the wrath of Ra.One  the game's villain who uses an advanced technology to take on physical form. He wants to destroy Prateek  something only the game's protagonist  G.One  can prevent from happening.,When the titular antagonist of an action-adventure video game takes on physical form  it's only the game's less powerful protagonist who can save his creator's family.,Introducing G.One : Superhero With A H.A.R.T.,Shah Rukh Khan|Arjun Rampal|Kareena Kapoor|Shahana Goswami|Atul Sharma|Priyanka Chopra|Satish Shah|Armaan Verma|Dalip Tahil|Suresh Menon|Sanjay Dutt|Rajinikanth|Joe Egan|Ben Hawkey|,14 wins & 9 nominations,26 October 2011 (India),Anubhav Sinha,1965,director|writer|producer,David Benullo|Kanika Dhillon|Niranjan Iyengar|Shah Rukh Khan|Mushtaq Sheikh|Anubhav Sinha|Rajshri Sudhakar,\N|\N|\N|1965|\N|1965|\N,assistant_director|writer|director|writer|actress|assistant_director|writer|music_department|soundtrack|actor|producer|soundtrack|writer|actor|producer|director|writer|producer|music_department|writer|soundtrack
Pati Patni Aur Woh (2019 film),tt9680136,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Pati_Patni_Aur_Woh_poster.jpg/220px-Pati_Patni_Aur_Woh_poster.jpg,https://en.wikipedia.org/wiki/Pati_Patni_Aur_Woh_(2019_film),Pati Patni Aur Woh,Pati Patni Aur Woh,0.0,2019.0,\N,Comedy|Romance,,,Chintu Tyagi is an ordinary  middle class man who finds himself torn between his wife and another woman.,Chintu Tyagi is an ordinary  middle class man who finds himself torn between his wife and another woman.,,Kartik Aaryan|Bhumi Pednekar|Ananya Panday|Aparshakti Khurana|,,,Mudassar Aziz,\N,writer|music_department|soundtrack,Mudassar Aziz|B.R. Chopra|Jasmeet K. Reen,\N|1914|\N,writer|music_department|soundtrack|producer|director|writer|writer|director
Dishoom,tt3679060,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/John_Abraham%27s_Dishoom_poster.jpg/220px-John_Abraham%27s_Dishoom_poster.jpg,https://en.wikipedia.org/wiki/Dishoom,Kapow,Dishoom,0.0,2016.0,124,Action|Adventure|Comedy,5.1,5976.0,When India's top batsman Viraj goes missing in Middle East  two cops Kabir Shergill and Junaid Ansari from either side of Arabian Sea team for a 36-hours man hunt before the final match between India and Pakistan.,When India's top batsman goes missing in the Middle East  two mismatched cops must team up for a 36-hour manhunt before the cricket final.,,John Abraham|Varun Dhawan|Nargis Fakhri|Jacqueline Fernandez|Rahul Dev|Satish Kaushik|Saqib Saleem|Vijay Raaz|Akshay Kumar|Akshaye Khanna|Rashmi Nigam|Tarun Khanna|Parineeti Chopra|Tirth|,2 wins & 1 nomination,29 July 2016 (USA),Rohit Dhawan,\N,writer|director|assistant_director,Rohit Dhawan|Tushar Hiranandani|Hussain Dalal,\N|\N|\N,writer|director|assistant_director|writer|miscellaneous|director|actor|writer
Jolly LLB,tt2621000,https://upload.wikimedia.org/wikipedia/en/thumb/b/b1/Jolly_LLB_First_Look.jpg/220px-Jolly_LLB_First_Look.jpg,https://en.wikipedia.org/wiki/Jolly_LLB,Jolly LLB,Jolly LLB,0.0,2013.0,135,Comedy|Drama,7.5,15157.0,Rajpal a top lawyer is defending Rahul Dewan son a business tycoon in a hit and run case.Jolly is a small time lawyer who comes to stay with his uncle in Delhi and consider's Rajpal his idol.When he finds hi fellow lawyer has gained fame after filing a PIL in-court against a case.Jolly decides to file against case if Rahul Dewan which will lead to a long a battle between Rajpal and Jolly.,A small time lawyer files a PIL in court against his own idols case.,We Believe InJustice,Arshad Warsi|Amrita Rao|Boman Irani|Saurabh Shukla|Harsh Chhaya|Mohan Kapoor|Mohan Agashe|Ramesh Deo|Sanjay Mishra|Rajeev Siddhartha|Vibha Chhibber|Kartick Sitaraman|,7 wins & 5 nominations,15 March 2013 (India),Subhash Kapoor,\N,writer|actor|director,Subhash Kapoor,\N,writer|actor|director
Kucch Luv Jaisaa,tt1942905,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Kucch_Luv_Jaisaa_Poster.jpg/220px-Kucch_Luv_Jaisaa_Poster.jpg,https://en.wikipedia.org/wiki/Kucch_Luv_Jaisaa,Kucch Luv Jaisaa,Kucch Luv Jaisaa,0.0,2011.0,105,Drama,4.3,119.0,Kuchh Luv Jaisa is a story about a house wife  Madhu (Shefali Shah)  who gets ditched by her husband (Sumit Raghavan) and kids on her birthday which happens to come once in four years  Feb 29. Now Madhu is left with two options as she can either choose to sit at home and sulk  pity herself for the next four years or reinvent her boring  mundane life into an exciting one and take a grip over it. She eventually decides to head out and enjoy her birthday according to her whims and fancies. She splurges her husband's money in an unusual way. She shops for clothes  gets a makeover at an expensive parlour and above all buys a car! It is an unusually fun filled day for her until she meets Raghav (Rahul Bose)  a criminal on the run who is trying to mingle with the 'normal' crowd posing as an undercover agent so that he can escape the cops. A ditzy and happy-go-lucky Madhu runs into Raghav at a coffee shop where he is planning his next move and in this process a casual conversation begins. ...,After getting bored with her love less marriage life  a wife decides to get a breathe of fresh air and meets a hit man.,She is a Housewife escaping BOREDOM. He is a Criminal escaping COPS,Shefali Shah|Om Puri|,,27 May 2011 (India),Shukla Barnali Ray,\N,director|writer|assistant_director,Shukla Barnali Ray,\N,director|writer|assistant_director
Rocky Handsome,tt3410408,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Rocky_Handsome_Hindi_poster.jpg/220px-Rocky_Handsome_Hindi_poster.jpg,https://en.wikipedia.org/wiki/Rocky_Handsome,Rocky Handsome,Rocky Handsome,0.0,2016.0,119,Action|Thriller,6.8,6582.0,Kabir runs a pawn shop in Goa he befriends his little neighbor Naomi who lives with her drug addict mother Anna.Acp Salgaonkar is after a drug landlord Mantoo who runs the racket with Fereira brothers Kevin and Luke and also deal with organ trafficking.,A reclusive pawn shop owner sets his sights on revenge when vicious gangsters kidnap his drug-addicted neighbor's young daughter.,His only friend... her only hope.,John Abraham|Nishikant Kamat|Sharad Kelkar|Teddy Maurya|Diya Chalwad|Kazu Patrick Tang|Shruti Haasan|Prashanti Talpankar|Nathalia Kaur|Paromita Chatterjee|Akanksha Awasthi|Viren Vajpayee|Vansh Sanghani|Jayant Sawarkar|,,25 March 2016 (USA),Nishikant Kamat,\N,actor|director|writer,Ritesh Shah,\N,writer|actor|music_department
Firangi,tt7549484,https://upload.wikimedia.org/wikipedia/en/thumb/a/af/Firangi_-_Poster_1.jpg/220px-Firangi_-_Poster_1.jpg,https://en.wikipedia.org/wiki/Firangi,Firangi,Firangi,0.0,2017.0,158,Comedy|Drama,4.5,913.0,Manga  an unemployed young man from village Behrampur  was born with a healing gift through which he could cure anyone's backache. This unique ability of his helps him get the job of Orderly from British Officer Mark Daniels. During a visit to village Naku Guda for his friend Heera's wedding  Manga comes across Sargi and falls in love with her. Manga's parents visit Sargi's house with a marriage proposal but Lalaji  Sargi's grandfather  who is not happy with Manga working for the Britishers  refuses the proposal. Raja Inderveer Singh asks all the people of village Naku Guda to relocate to some other place as he intends to set up a Distillery there. Sensing an opportunity to impress Lalaji  Manga decides to help the villagers and complains about it to Officer Mark Daniels  unaware of the fact that his officer is in cahoots with Raja Inderveer Singh. An unsuspecting Manga is manipulated by Mark Daniels and Raja Inderveer Singh and ends up helping them deceive the villagers. Now the ...,When there are disputes in life  love overcomes all challenges and truth prevails. Set in the colonial era  Firangi is the story of a mutiny staged by the villagers against the Britishers.,,Kapil Sharma|Ishita Dutta|Monica Gill|Edward Sonnenblick|Kumud Mishra|Anjan Srivastav|Inaamulhaq|Rajesh Sharma|Jameel Khan|Jatinder Kaur|Vishal Om Prakash|Roshni Walia|Naisha Khanna|Sharan Makkar|,1 nomination,1 December 2017 (USA),Rajiv Dhingra,\N,miscellaneous|director|writer,Rupinder Chahal|Rajesh Chawla|Rajiv Dhingra|Balwinder Singh Janjua,\N|\N|\N|\N,assistant_director|writer|producer|writer|actor|music_department|miscellaneous|director|writer|writer|assistant_director|producer
Jalebi (film),tt8426854,https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Jalebi_Movie_poster.jpg/220px-Jalebi_Movie_poster.jpg,https://en.wikipedia.org/wiki/Jalebi_(film),Jalebi,Jalebi,0.0,2018.0,112,Drama,6.3,1598.0,A woman boards an overnight train and gets placed in a compartment with her former lover and his wife.,A woman boards an overnight train and gets placed in a compartment with her former lover and his wife.,The Everlasting Taste of Love,Rhea Chakraborty|Varun Mitra|Digangana Suryavanshi|Arya Poorti|Mahesh Thakur|,,12 October 2018 (India),Pushpdeep Bhardwaj,\N,director|writer,Pushpdeep Bhardwaj|Kausar Munir|Suhrita Sengupta,\N|\N|\N,director|writer|music_department|soundtrack|writer|writer
Dirty Politics (film),tt4501576,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Dirty_Politics.jpg/220px-Dirty_Politics.jpg,https://en.wikipedia.org/wiki/Dirty_Politics_(film),Dirty Politics,Dirty Politics,0.0,2015.0,130,Drama,2.6,534.0,In order to gain power  Anokhi Devi blackmails and sleeps with a politician. However  when she goes missing; the CBI step in to investigate.,In order to gain power  Anokhi Devi blackmails and sleeps with a politician. However  when she goes missing; the CBI step in to investigate.,,Anupam Kher|Atul Kulkarni|Awadhesh Mishra|Govind Namdeo|Om Puri|Ashutosh Rana|Naseeruddin Shah|Mallika Sherawat|Jackie Shroff|Sushant Singh|,,6 March 2015 (India),K.C. Bokadia,\N,director|producer|writer,K.C. Bokadia,\N,director|producer|writer
Phantom (2015 film),tt3469244,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Phantom_Hindi_Poster.jpg/220px-Phantom_Hindi_Poster.jpg,https://en.wikipedia.org/wiki/Phantom_(2015_film),Phantom,Phantom,0.0,2015.0,136,Action|Drama|Thriller,5.8,7913.0,Phantom is a political action thriller that unfolds across various countries around the world. The plot revolves around protagonist Daniyal  whose journey to seek justice takes him from India to Europe  America and the volatile Middle East. However  he finds out that in a mission like this  there is always a price to pay  in this case  a very personal price.,A disgraced Indian soldier carries out a series of assassinations in the hope of restoring his honour.,A story you wish were true,Saif Ali Khan|Katrina Kaif|Sabyasachi Chakrabarty|Rajesh Tailang|,1 nomination,28 August 2015 (India),Kabir Khan,\N,director|producer|writer,Hussain Zaidi|Kabir Khan|Parveez Sheikh|Kausar Munir,\N|\N|\N|\N,writer|director|producer|writer|writer|music_department|soundtrack|writer
Bhoot Returns,tt2406636,https://upload.wikimedia.org/wikipedia/en/a/a4/Bhoot_Returns_poster.jpg,https://en.wikipedia.org/wiki/Bhoot_Returns,Bhoot Returns,Bhoot Returns,0.0,2012.0,85,Horror|Mystery|Thriller,2.5,480.0,This story revolves around a family that moves into a new bungalow. Soon the family members experience weird things happening in the house. The little girl Nimmi claims the presence of an invisible figure named Shabbu thus putting her parents in trouble. Pooja (the sister of Nimmi's father) surprises the family by a sudden visit  and after analyzing the situation that Nimmi is suffering from  she places wireless cameras all over the house to record the activities of Nimmi. With the passage of time  Laxman (the servant) and Taman (the brother of Nimmi) are brutally murdered. Lastly  the possessed girl Nimmi is burned down and the family flee  bloody and injured.,A family moves into a possessed bungalow. A sudden turn of events in the house leaves them astonished. When things worsen  escape seems to be their last resort.,,J.D. Chakravarthi|Madhu Shalini|Alayana Sharma|Nitin Jadhav|Bharat Ganeshpure|,1 win,12 October 2012 (India),Ram Gopal Varma,1962,director|producer|writer,,,
Jaane Kyun De Yaaron,tt7720254,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Jaane_Kyun_De_Yaaron_film_poster.jpg/220px-Jaane_Kyun_De_Yaaron_film_poster.jpg,https://en.wikipedia.org/wiki/Jaane_Kyun_De_Yaaron,Jaane kyun de yaaron,Jaane kyun de yaaron,0.0,2018.0,131,Drama,4.4,25.0,Raghu and Abhishek are two young rap singers  living in Mumbai  trying to further their careers by making an album. They are beset by rejection after rejection from cynical and dismissive financiers  even though their young fans love them. The tables seem to have turned when they perform at a function and meet Shera - a larger-than-life figure who offers them help should they ever meet a problem. His presence is reassuring  and he is the strongest character in the film. From here their lives take a downwards spiral. Abhishek is accused of driving while drunk and of assaulting a police officer. No-one will listen to him despite the fact that he was not driving and he was a victim of police brutality. The support of their families and their loyalty to one another is all that holds them up at this time. The upshot is that they are misused by corrupt policemen and lawyers and ultimately Abhi is found guilty but.. - Shera has seen all that has happened  has put in place a mechanism that ...,Two boys with the dreams to change their ordinary lives change the entire corruption system as they take a stand against police brutality with the little help of a benevolent guardian.,,Akshay Anand|Kabir Bedi|Hitesh Bhardwaj|Abhay Bhargav|Ravi Raj Kande|Viju Khote|Usha Nadkarni|Chetna Pande|Daya Shankar Pandey|Raghu Raja|Abhishek Sharma|Vikram Singh|Yashwant Singh|,,16 February 2018 (India),Akshay Anand,\N,actor,Akshay Anand|Ajit Rajpal,\N|\N,actor|writer|director|producer
Love Breakups Zindagi,tt1877691,https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/LBZ_pic.jpg/220px-LBZ_pic.jpg,https://en.wikipedia.org/wiki/Love_Breakups_Zindagi,Love Breakups Zindagi,Love Breakups Zindagi,0.0,2011.0,156,Comedy|Drama|Romance,5.7,930.0,Delhi-based Jai Malhotra is engaged to Radhika and their marriage is expected to take place soon  while Mumbai-based Naina Kapoor has a boyfriend in Dhruv and both are also plan to wed. Both travel without their respective lovers to Chandigarh to attend the marriage of Arjun and Gayatri. They meet with Gayatri's grandmother  Bijji  and mingle with others. They also organize a night of entertainment  which is also attended by Dhruv. The festivities turn to sorrow the next day when Bijji unexpectedly passes away. After a brief mourning period  the marriage takes place  and everyone returns to their respective homes. With their minds still fresh from memories and photographs from the wedding  they then experience issues and challenges when they attempt to adjust back into their respective lives.,A couple and many of their friends experience changes and challenges in their respective lives after attending a wedding.,,Zayed Khan|Dia Mirza|Cyrus Sahukar|Tisca Chopra|Satyadeep Misra|Vaibhav Talwar|Pallavi Sharda|Auritra Ghosh|Umang Jain|Farida Jalal|,,7 October 2011 (India),Sahil Sangha,\N,director|writer|producer,Sahil Sangha|Sanyuktha Chawla Shaikh,\N|\N,director|writer|producer|writer|miscellaneous|assistant_director
Mercury (film),tt7881558,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Mercury_film.jpg/220px-Mercury_film.jpg,https://en.wikipedia.org/wiki/Mercury_(2018_film),Mercury,Mercury,0.0,2018.0,106,Horror|Thriller,6.2,774.0,Five friends maimed from mercury poisoning try to cover up for an accident that left a man dead.,Five friends maimed from mercury poisoning try to cover up for an accident that left a man dead.,Silence is the most powerful scream,Prabhu Deva|Gajaraj|Ramya Nambeeshan|Indhuja Ravichandran|,,13 April 2018 (USA),Karthik Subbaraj,\N,director|writer|producer,,,
Guddu Ki Gun,tt4853926,,https://en.wikipedia.org/wiki/Guddu_Ki_Gun,Guddu Ki Gun,Guddu Ki Gun,0.0,2015.0,130,Comedy,4.7,541.0,"Guddu Ki Gun is the tale of Govardhan aka Guddu (Kunal Kemmu)  a Bihari settled in Kolkata. He is a door-to-door washing powder salesman  whose sales pitch is ""Ek washing powder ke saath Guddu free"". While sharing a room with his close friend Ladoo (Sumeet Vyas)  Guddu leads an amorous lifestyle in Kolkata. His travails begins when he ditches one of his girlfriends  Bholi (Aparna Sharma). Furious for forsaking his granddaughter  Bholi's grandfather casts a black magic spell on him. The only way Guddu can get rid of the curse is to find true love and by staying faithful to her.","Guddu Ki Gun is the tale of Govardhan aka Guddu (Kunal Kemmu)  a Bihari settled in Kolkata. He is a door-to-door washing powder salesman  whose sales pitch is ""Ek washing powder ke saath ...                    ",,Kunal Khemu|Payel Sarkar|Aparna Sharma|,,30 October 2015 (India),Sheershak Anand|Shantanu Ray Chhibber,\N|\N,writer|director|editor|writer|director|actor,Sheershak Anand|Shantanu Ray Chhibber,\N|\N,writer|director|editor|writer|director|actor
Rangoon (2017 Hindi film),tt4909752,https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/RangoonPoster.jpg/220px-RangoonPoster.jpg,https://en.wikipedia.org/wiki/Rangoon_(2017_Hindi_film),Rangoon,Rangoon,0.0,2017.0,170,Action|Drama|History,5.7,3393.0,A love triangle forms against the backdrop of the Second World War.,A love triangle forms against the backdrop of the Second World War.,Love. War. Deceit.,Kangana Ranaut|Shahid Kapoor|Saif Ali Khan|Manav Vij|Ujjwal Chopra|Kuldeep Sareen|Saharsh Kumar Shukla|Rushad Rana|Shriswara Dubey|Gajraj Rao|Pooja Sarup|Atul Kumar|Richard McCabe|Alex Avery|,1 win & 8 nominations,24 February 2017 (USA),Vishal Bhardwaj,\N,composer|soundtrack|writer,Matthew Robbins|Sabrina Dhawan|Vishal Bhardwaj,1945|\N|\N,writer|director|actor|writer|producer|director|composer|soundtrack|writer
Chinar Daastaan-E-Ishq,tt5021968,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Official_poster_of_Chinar_Daastaan-E-Ishq.jpg/220px-Official_poster_of_Chinar_Daastaan-E-Ishq.jpg,https://en.wikipedia.org/wiki/Chinar_Daastaan-E-Ishq,Chinar Daastaan-E-Ishq,Chinar Daastaan-E-Ishq,0.0,2015.0,116,Romance,7.0,58.0,Based on Urdu novel Jheel Jalti Hai  the film aspires to be an iconic love story of Jamaal (Faissal Khan) and Suraiyya (Inayat Sharma). Sadly  more than the somber story  the experience of watching this film is more tragic.,Based on Urdu novel Jheel Jalti Hai  the film aspires to be an iconic love story of Jamaal (Faissal Khan) and Suraiyya (Inayat Sharma). Sadly  more than the somber story  the experience of watching this film is more tragic.,Daastaan E Ishq,Parveen Kaur|Faisal Khan|Shahbaaz Khan|Pramod Moutho|Inayat Sharma|,,16 October 2015 (India),Sharique Minhaj,\N,director|writer,Ahmed Chaudhary|Mohsin Khan|Sahar Quaze|Renzu Shah,\N|\N|\N|\N,assistant_director|actor|production_designer|writer|writer|script_department|writer
Shagird (2011 film),tt1828289,https://upload.wikimedia.org/wikipedia/en/thumb/7/75/Shagird_film.jpg/220px-Shagird_film.jpg,https://en.wikipedia.org/wiki/Shagird_(2011_film),Shagird,Shagird,0.0,2011.0,143,Action|Crime|Drama,7.0,1648.0,Sub-Inspector Mohit Kumar joins Delhi Police' Crime Branch and is instructed to work under the supervision of Senior Police Inspector Hanumant Singh  who lives with his wife and school-going son  Nikhil. Mohit witnesses Hanumant's family come under attack and becomes sympathetic - especially when the media - including his Aaj Tak Reporter and girlfriend  Varsha Mathur - criticizes him. Mohit does change his mind about Hanumant when he witnesses the latter break the laws as well as accept bribes and shares it with other police officers with impunity. Mohit will not only face career and personal challenges when he decides to oppose politically-connected Hanumant  but also when Varsha  along with two other journalists  will be abducted by Islamic terrorists.,A rookie cop questions the tactics of his superior  and attempts to track the abductors of his girlfriend.,When Desire Gets Dangerous...,Nana Patekar|Mohit Ahlawat|Rimi Sen|Anurag Kashyap|Zakir Hussain|,,13 May 2011 (India),Tigmanshu Dhulia,\N,director|actor|writer,Tigmanshu Dhulia|Mahendra Jakhar|Kamal Pandey,\N|\N|\N,director|actor|writer|writer|writer|actor
Union Leader (film),tt6395306,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Union_Leader_Poster.jpg/220px-Union_Leader_Poster.jpg,https://en.wikipedia.org/wiki/Union_Leader_(film),Union Leader,Union Leader,0.0,2017.0,106,Drama,7.6,1503.0,UNION LEADER is a drama  105 minutes in length  and it is the story of Jay  who gave up his dream of education to care for his family when he was young and is haunted by the loss of a future that was not to be. But  he is determined to end the cycle of poverty and provide a better life for his family. Jay must fight to keep his family alive with each passing minute. Living in poverty and faced with the looming possibility of death  Jay must struggle against corporate greed and the constant dangers of living on every last penny. Will Jay be able to fulfill his dream? Will Jay be able to bring the bad guys to justice? Will Jay survive  or will he fall to his death like the hundreds that do.,Resigned to his fate as a worker in a notoriously shoddy chemical plant  Jay realizes that he must not only find a way to support his family  but also overcome grave social and legal injustice in the system.,,Rahul Bhat|Tillotama Shome|,3 wins & 17 nominations,19 January 2018 (India),Sanjay Patel,\N,writer|producer|director,Sanjay Patel|John Winston Rainey|Chinmay Sankrat,\N|\N|\N,writer|producer|director|writer|producer|script_department|writer
Rukh (film),tt7341406,https://upload.wikimedia.org/wikipedia/en/thumb/8/89/Rukh_-_Movie_Poster.jpg/220px-Rukh_-_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Rukh_(film),Rukh,Rukh,0.0,2017.0,106,Drama|Mystery,6.4,383.0,Away from home in a boarding school  18-year-old Dhruv is ignorant about the ongoing crisis in his family. His life takes an unexpected turn as he gets the news of his father's death in a car accident. As he copes with the tragedy  hidden truths begin to unravel. Even as his mother Nandini struggles to shield him from the truth  Dhruv starts looking for answers. Was his father's death an accident or a premeditated murder? The search leads to a series of unexpected revelations  as he discovers the shades of his father's personality he had never seen before.,After his father dies in a car accident  a boy rediscovers his lost connections and familial ties  confronting untold secrets and memories on his way.,,Manoj Bajpayee|Smita Tambe|Adarsh Gourav|Subhrajyoti Barat|Ahsaas Channa|Bhushan Vikas|Sandesh Kulkarni|Pawan Singh|,,27 October 2017 (India),Atanu Mukherjee,\N,editor|director|writer,Suraj Majhi|Akash Mohimen|Atanu Mukherjee,\N|\N|\N,writer|editorial_department|script_department|writer|cinematographer|editor|editor|director|writer
Mukkabaaz,tt7180544,https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/Mukkabaaz_poster.jpg/220px-Mukkabaaz_poster.jpg,https://en.wikipedia.org/wiki/Mukkabaaz,The Brawler,Mukkabaaz,0.0,2017.0,154,Action|Drama|Sport,8.1,5434.0,A boxer (Shravan) belonging to upper cast  trains at a gym controlled by a local Don (Bhagwan Das Mishra). Shravan falls for Mishra's niece (Sunaina). The Don does not approve of this match because of previous scuffle between Bhagwan and Shravan. Shravan strives to win Sunaina's hand in marriage and becomes a successful boxer while trying to avoid retaliation from the Don.,A boxer struggles to make his mark in the boxing world.,,Viineet Kumar|Jimmy Sheirgill|Zoya Hussain|Ravi Kishan|Rajesh Tailang|Shreedhar Dubey|Sadhana Singh|Shakti Kumar|Chittaranjan Tripathy|Sukhesh Mishra|Shikha Chauhan|Abhay Joshi|Nawazuddin Siddiqui|,3 wins & 6 nominations,12 January 2018 (USA),Anurag Kashyap,1972,producer|writer|director,Anudeep Singh|Anurag Kashyap|Viineet Kumar|Mukti Singh Srinet|K.D. Satyam|Prasoon Mishra|Ranjan Chandel,\N|1972|\N|\N|\N|\N|\N,writer|producer|writer|director|actor|writer|soundtrack|writer|writer|director|producer|writer|writer|assistant_director|director
PM Narendra Modi,tt9558612,https://upload.wikimedia.org/wikipedia/en/thumb/8/80/PM_Narendra_Modi.jpg/220px-PM_Narendra_Modi.jpg,https://en.wikipedia.org/wiki/PM_Narendra_Modi,PM Narendra Modi,PM Narendra Modi,0.0,2019.0,136,Biography|Drama,3.3,4484.0,Biography of India's Prime Minister Shri Narendra Modi.,Biography of India's Prime Minister Shri Narendra Modi.,,Boman Irani|Vivek Oberoi|Barkha Bisht|Darshan Kumaar|Zarina Wahab|Manoj Joshi|Suresh Oberoi|Prashant Narayanan|Yatin Karyekar|Rajendra Gupta|Anjan Srivastav|Imran Hasnee|Jay Bhatt|Akshat R Saluja|,,24 May 2019 (USA),Omung Kumar,\N,art_department|art_director|production_designer,Anirudh Chawla|Harsh Limbachiyaa|Vivek Oberoi|Sandip Ssingh,\N|\N|1976|\N,writer|director|actor|writer|actor|writer|producer|producer|writer|soundtrack
Kuchh Bheege Alfaaz,tt7617988,https://upload.wikimedia.org/wikipedia/en/thumb/9/91/Kuchh_Bheege_Alfaaz.jpg/220px-Kuchh_Bheege_Alfaaz.jpg,https://en.wikipedia.org/wiki/Kuchh_Bheege_Alfaaz,Kuchh Bheege Alfaaz,Kuchh Bheege Alfaaz,0.0,2018.0,116,Romance,7.5,578.0,Every night at 10  Kolkata tunes into Big FM to listen to 'Kuch Bheege Alfaaz' - an episodic series of unrequited love stories hosted by RJ Alfaaz who  despite his tremendous following  prefers staying detached and anonymous. Among his many fans is the boisterous Archana  a girl working at a creative agency - which designs branded memes. She is leukodermic but lives life to the fullest. They meet; or rather talk  for the first time over a misplaced call  when Archana accidentally dials Alfaaz's number  while trying to connect with her latest blind date. A friendship blossoms between the two strangers hidden behind their digital screens. It quickly translates in to a whirlwind of romance  until they bare their true selves to each other.,In a world of pings  likes  tweets  shares and comments  2 strangers connect over a mis-dial and WhatsApp their way into each others' hearts  safely hidden behind digital screens. But will the emojis translate to emotions when they reveal their truth to one another.,,Geetanjali Thapa|Zain Khan Durrani|Shray Rai Tiwari|Mona Ambegaonkar|Saheb Bhattacharjee|Chandrayee Ghosh|Saurav Das|Debopriya|Sahil Agarwal|Shefali Chauhan|Soumya Mukherjee|Shankhu Karmakar|Udai Shankar|Moumita|,,16 February 2018 (India),Onir,\N,producer|director|editor,Abhishek Chatterjee,\N,writer|miscellaneous|director
The Xposé,tt3645014,https://upload.wikimedia.org/wikipedia/en/thumb/9/91/TheXposePoster.jpg/220px-TheXposePoster.jpg,https://en.wikipedia.org/wiki/The_Xpos%C3%A9,The Xpose,The Xpose,0.0,2014.0,113,Thriller,3.2,1419.0,This is a dramatic chain of events in the most glamorous  swinging era of Hindi films... the 1960s. It was a decade when film stars tasted success and carried their larger than life screen image on to real life with unbridled pomp and splendour. It was during this time that two ambitious films were made... Ujwal Nirmal Sheetal and Reena Mera Naam. The latter became a runaway hit while the former was struggling at the box office.,This is a dramatic chain of events in the most glamorous  swinging era of Hindi films... the 1960s. It was a decade when film stars tasted success and carried their larger than life screen ...                    ,,Himesh Reshammiya|Yo Yo Honey Singh|Irrfan Khan|Zoya Afroz|Sonali Raut|Adil Hussain|Ananth Narayan Mahadevan|,1 win & 2 nominations,16 May 2014 (India),Ananth Narayan Mahadevan,1950,actor|director|writer,Himesh Reshammiya|Jainesh Ejardar|Bunty Rathore,1973|\N|\N,composer|soundtrack|music_department|writer|actor|writer|actor
Santa Banta Pvt Ltd,tt2909396,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Santa_Banta_Pvt_Ltd_Hindi_film_poster.jpg/220px-Santa_Banta_Pvt_Ltd_Hindi_film_poster.jpg,https://en.wikipedia.org/wiki/Santa_Banta_Pvt_Ltd,Santa Banta Pvt Ltd,Santa Banta Pvt Ltd,0.0,2016.0,112,Comedy|Crime|Drama,2.9,193.0,Two friends and their sweet and endearing misadventures and one of these misadventures sees them land in the middle of a kidnapping investigation.,Two friends and their sweet and endearing misadventures and one of these misadventures sees them land in the middle of a kidnapping investigation.,,Boman Irani|Vir Das|Neha Dhupia|Lisa Haydon|Ram Kapoor|Johnny Lever|Vijay Raaz|Tinnu Anand|Sanjay Mishra|Ayub Khan|Vrajesh Hirjee|Vijay Patkar|Sonu Nigam|Ranjeet|,,22 April 2016 (India),Akashdeep,\N,actor|director|producer,Akashdeep,\N,actor|director|producer
